degree,question,a,b,c,d,answer
1,【名詞】 比賽;遊戲,game,photograph,same,back,game
1,【動詞】 做(夢);想像,dream,modern,stair,best,dream
1,【副詞】 一同,together,pin,price,subject,together
1,【形容詞】 容易的,easy,machine,warm,now,easy
1,【名詞】 司機,driver,brown,ear,where,driver
1,【形容詞】 慷慨的,generous,pleasant,brief,powerful,generous
1,【動詞】 納悶,wonder,local,peak,lone,wonder
1,【名詞】 管子,tube,ahead,boil,wire,tube
1,【名詞】 考慮,consideration,couple,equal,charge,consideration
1,【名詞】 特別喜愛的,favorite,with,style,businessman,favorite
2,【動詞】 逮捕;拘留,arrest,fuel,election,seal,arrest
2,【名詞】 場合;時刻,occasion,property,surround,fancy,occasion
2,【形容詞】 穩固的;平穩的,steady,separation,honesty,joyful,steady
2,【動詞】 假定,assume,fake,snap,pitch,assume
2,【名詞】 指導;引導,guidance,lettuce,yolk,whistle,guidance
2,【動詞】 補救;糾正,remedy,offend,urge,assemble,remedy
2,【名詞】 失敗;戰敗,defeat,shameful,depression,tumble,defeat
2,【形容詞】 精確的;準確的,precise,charity,initial,eventual,precise
2,【動詞】 坦白;供認,confess,enthusiasm,efficiency,estimate,confess
2,【名詞】 知足;滿意,contentment,hesitation,gulf,charity,contentment
3,【名詞】 提倡者;擁護者,advocate,lawmaker,orchard,scent,advocate
3,【形容詞】 實質上的;虛擬的,virtual,exclude,pulse,vertical,virtual
3,【名詞】 專題討論,seminar,criterion,hazard,citizenship,seminar
3,【動詞】 展開;呈現,unfold,modify,chaos,compound,unfold
3,【形容詞】 專注的;熱切的,ntent,unprecedented,advocate,noticeable,ntent
3,"【動詞】 排練,排演",rehearse,compile,exert,surge,rehearse
3,【名詞】 騷動;混亂,turmoil,distraction,defect,reckon,turmoil
3,【形容詞】 簡明的,concise,obstinate,mute,harass,concise
3,【動詞】 消滅;暴卒;枯萎,perish,dazzle,slaughter,dwell,perish
3,【名詞】 存貨清單,inventory,handicraft,wholesale,peacock,inventory
1,【動詞】 宣判;判決,sentence,count,land,exercise,sentence
1,【形容詞】 可怕的,terrible,angry,sharp,nobody,terrible
1,【名詞】 天氣,weather,sky,there,basket,weather
1,【名詞】 外套,coat,tree,taxi,library,coat
1,"【動詞】 接近;幾乎,差不多",near,mister,type,either,near
1,【動詞】 精通,master,term,brief,object,master
1,【形容詞】 頑皮的,naughty,blame,general,joint,naughty
1,【名詞】 藉口,excuse,refuse,match,board,excuse
1,【名詞】 事項;問候,regard,culture,seesaw,detail,regard
1,【動詞】 鋸;鋸開,saw,none,argument,struggle,saw
2,【名詞】 蔭;陰暗處;影子,shadow,decade,poll,charm,shadow
2,【動詞】 修理;修補,mend,sigh,hint,junk,mend
2,【動詞】 使有條理;安排,organize,pilot,spray,desire,organize
2,【名詞】 力量;力氣,strength,steam,omit,gesture,strength
2,【形容詞】 實用的,practical,automatic,squeeze,grin,practical
2,【形容詞】 用手操作的,manual,distinguished,mysterious,courageous,manual
2,【名詞】 節奏;韻律,rhythm,courtesy,fetch,reputation,rhythm
2,【名詞】 暴露;暴曬,exposure,orphan,obstacle,shelter,exposure
2,【名詞】 差異;多樣性,diversity,concrete,dependent,enforcement,diversity
2,【動詞】 支配;控制,dominate,declare,illustrate,modesty,dominate
3,【名詞】 發展;進展,evolution,realism,propaganda,cuisine,evolution
3,【動詞】 責備;譴責;判刑,condemn,shuttle,deceive,recession,condemn
3,【形容詞】相反的;負面的有害的,adverse,considerate,federal,compassionate,adverse
3,【名詞】 烹飪(法);菜餚,cuisine,compromise,carnival,mortality,cuisine
3,【動詞】 使擱淺;處於困境,strand,descend,startle,shield,strand
3,【動詞】 栽培(作物);養殖(魚);培育,cultivate,mourn,handicap,peek,cultivate
3,【形容詞】 移居的;流浪的,migrant,eccentric,vocational,lucrative,migrant
3,【名詞】 賄賂,bribe,vitality,barbarian,commonplace,bribe
3,【名詞】 社論,editorial,broth,oath,oppression,editorial
3,【動詞】 解放;使獲自由,liberate,discard,shutter,chirp,liberate
2,【名詞】 貯藏箱,bin,orientation,arch,embassy,bin
2,【動詞】 鑽(孔);在...上鑽孔,drill,shade,draft,spear,drill
2,【名詞】 管弦樂隊,orchestra,cushion,inflation,launch,orchestra
2,【動詞】 使潮濕;使沮喪;抑制,damp,absorb,fasten,fasten,damp
2,【形容詞】 無所事事的,idle,mild,intensive,habitual,idle
